Fam1EN;CostTypeEN;BookingEN;ActivityKey;combined_text;Transaction_Index;Cat1_Match;Cat2_Match;DescriptionCat2_Match;Similarity_Score
external services;Cleaning;workshop bex cleaning;Cleaning services;Cleaning workshop bex cleaning;443;purchases of services;cleaning services;cleaning services for professional, industrial and residential spaces. this includes activities such as the cleaning of offices, factories and public buildings, as well as specialised cleaning for specific events or situations.;0.552567720413208
other personnel expenses;Meal expenses;workshop bex;Meals (Staff);Meal expenses workshop bex;444;purchases of services;catering services;catering services, caterers, canteens, restaurant meals, as well as the provision of meals at events or on company premises. these services meet the catering needs of individuals and organisations, for one-off or regular occasions.;0.41971421241760254
other personnel expenses;Meal expenses;workshop bex;Meals (Staff);Meal expenses workshop bex;445;purchases of services;catering services;catering services, caterers, canteens, restaurant meals, as well as the provision of meals at events or on company premises. these services meet the catering needs of individuals and organisations, for one-off or regular occasions.;0.41971421241760254
external services;Various Third-Party Services;workshop alpenluft;Admin services;Various Third-Party Services workshop alpenluft;446;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5531630516052246
it expenses;Maintenance of computer equipment;workshop address;IT equipments maintenance;Maintenance of computer equipment workshop address;447;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.48645949363708496
external services;Various Third-Party Services;workshop;Admin services;Various Third-Party Services workshop;448;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5431929230690002
rent for movables;Various Rent;workshop;Furniture rental;Various Rent workshop;449;purchases of services;building rental;rental of various types of buildings, such as offices, commercial spaces, housing, storage warehouses and outdoor spaces. these rentals are designed to meet different needs, whether professional, residential or logistical, and allow flexibility in the use of space.;0.6484252214431763
wages and salaries;Rented Personnel;workshop;Admin services;Rented Personnel workshop;450;purchases of services;furniture rental;furniture hire for temporary needs, such as fitting out residential, business or event spaces. this includes items such as sofas, tables, chairs, beds and wardrobes. this solution is ideal for companies or individuals who want to furnish a space in a flexible way, without having to purchase furniture on a permanent basis.;0.4526539444923401
office and administrative expenses;Representation and acquisition expenses;workshop;Meals (Staff);Representation and acquisition expenses workshop;451;purchases of services;information and cultural services;access to cultural and economic resources. this includes newspaper subscriptions, access to events, content platforms, as well as paid professional information for businesses.;0.4500408172607422
other personnel expenses;Staff training;workshop;HR services;Staff training workshop;452;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.4215487837791443
external services;Cleaning;workshop;Cleaning services;Cleaning workshop;453;purchases of services;cleaning services;cleaning services for professional, industrial and residential spaces. this includes activities such as the cleaning of offices, factories and public buildings, as well as specialised cleaning for specific events or situations.;0.6315912008285522
other personnel expenses;Staff training;workshop;HR services;Staff training workshop;454;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.4215487837791443
other personnel expenses;Meal expenses;worksh bex marketing;Meals (Staff);Meal expenses worksh bex marketing;455;purchases of services;catering services;catering services, caterers, canteens, restaurant meals, as well as the provision of meals at events or on company premises. these services meet the catering needs of individuals and organisations, for one-off or regular occasions.;0.5188093185424805
wages and salaries;Rented Personnel;workload sabine;Admin services;Rented Personnel workload sabine;456;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.4361626207828522
fixtures and installations;Electrical installations/material;working hours move;Construction equipments;Electrical installations/material working hours move;457;purchase of goods;electrical equipment;equipment such as generators, electric motors, switchboards, dimmers and wiring. this equipment is used for the production, distribution and management of electricity, not including energy consumption.;0.46794095635414124
other personnel expenses;Miscellaneous Personal Expenses;workforce;Travel allowance (Staff);Miscellaneous Personal Expenses workforce;458;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.5279099941253662
other personnel expenses;Travel expenses;workday tnt;Train (Staff);Travel expenses workday tnt;459;passenger transport;accommodation / event;activities associated with travel, such as hotel accommodation and attendance at ticketed events. ;0.4092491567134857
office and administrative expenses;Postage, Couriers (7.7%);workbooks shipment workshops;Postal services;Postage, Couriers (7.7%) workbooks shipment workshops;460;purchases of services;logistics services;services related to the management of the flow of goods, from their point of origin to their final destination. this includes activities such as transport, storage, warehouse management, distribution and coordination of deliveries. these services are essential for optimising the supply chain, ensuring product availability and guaranteeing efficient, on-time delivery.;0.49155864119529724
office and administrative expenses;Postage, Couriers (7.7%);workbooks live shipment;Postal services;Postage, Couriers (7.7%) workbooks live shipment;461;purchase of goods;office consumables;all items used on a daily basis in an office environment that need to be replaced regularly. it includes supplies such as printing paper, ink cartridges for printers, pens, markers and notepads, as well as items such as paper clips, envelopes and filing folders.;0.45913761854171753
office and administrative expenses;Printed matter;workbook pressure;Marketing services;Printed matter workbook pressure;462;purchase of materials;paper and cardboard;paper and cardboard products for a variety of uses. these include items such as printed paper labels, books, reams of paper (white or standard), as well as pulp used as raw material for the manufacture of different types of paper.;0.32208001613616943
it expenses;Maintenance computer (Software);work update abacus;IT maintenance;Maintenance computer (Software) work update abacus;463;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5700509548187256
other personnel expenses;Corporate clothing;work shoes;Clothing equipments;Corporate clothing work shoes;464;purchase of goods;textiles and clothing;everyday clothing, such as coats, polo shirts, sweaters, jackets, shirts, jeans, t-shirts, dresses and pullovers, as well as professional and protective equipment. it includes specialist clothing, such as safety footwear, overalls and high-visibility waistcoats, designed to protect workers in specific environments. these items cover the needs of comfort, style and safety for professional or high-risk activities.;0.6602257490158081
marketing;PR media;work pr media;Marketing services;PR media work pr media;465;purchases of services;information and cultural services;access to cultural and economic resources. this includes newspaper subscriptions, access to events, content platforms, as well as paid professional information for businesses.;0.5848879814147949
external services;Various Third-Party Services;work infra;Admin services;Various Third-Party Services work infra;466;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5557717084884644
external services;Various Third-Party Services;work infra;Admin services;Various Third-Party Services work infra;467;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5557717084884644
external services;Various Third-Party Services;work infra;Admin services;Various Third-Party Services work infra;468;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5557717084884644
external services;Various Third-Party Services;work infra;Admin services;Various Third-Party Services work infra;469;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5557717084884644
external services;Various Third-Party Services;work infra;Admin services;Various Third-Party Services work infra;470;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5557717084884644
external services;Various Third-Party Services;work infra;Admin services;Various Third-Party Services work infra;471;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5557717084884644
external services;Various Third-Party Services;work infra;Admin services;Various Third-Party Services work infra;472;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5557717084884644
external services;Various Third-Party Services;work infra;Admin services;Various Third-Party Services work infra;473;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5557717084884644
external services;Various Third-Party Services;work infra;Admin services;Various Third-Party Services work infra;474;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5557717084884644
external services;Various Third-Party Services;work infra;Admin services;Various Third-Party Services work infra;475;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5557717084884644
fixtures and installations;Electrical installations/material;work infra;Construction equipments;Electrical installations/material work infra;476;purchase of goods;electrical equipment;equipment such as generators, electric motors, switchboards, dimmers and wiring. this equipment is used for the production, distribution and management of electricity, not including energy consumption.;0.6287388801574707
fixtures and installations;Electrical installations/material;work infra;Construction equipments;Electrical installations/material work infra;477;purchase of goods;electrical equipment;equipment such as generators, electric motors, switchboards, dimmers and wiring. this equipment is used for the production, distribution and management of electricity, not including energy consumption.;0.6287388801574707
fixtures and installations;Electrical installations/material;work infra;Construction equipments;Electrical installations/material work infra;478;purchase of goods;electrical equipment;equipment such as generators, electric motors, switchboards, dimmers and wiring. this equipment is used for the production, distribution and management of electricity, not including energy consumption.;0.6287388801574707
fixtures and installations;Electrical installations/material;work infra;Construction equipments;Electrical installations/material work infra;479;purchase of goods;electrical equipment;equipment such as generators, electric motors, switchboards, dimmers and wiring. this equipment is used for the production, distribution and management of electricity, not including energy consumption.;0.6287388801574707
fixtures and installations;Electrical installations/material;work inflation infra;Construction equipments;Electrical installations/material work inflation infra;480;purchase of goods;electrical equipment;equipment such as generators, electric motors, switchboards, dimmers and wiring. this equipment is used for the production, distribution and management of electricity, not including energy consumption.;0.55130535364151
other operating expenses;Development costs;work graphic enjoyment;IT services;Development costs work graphic enjoyment;481;purchases of services;information and cultural services;access to cultural and economic resources. this includes newspaper subscriptions, access to events, content platforms, as well as paid professional information for businesses.;0.42950379848480225
other personnel expenses;Corporate clothing;work gloves;Clothing equipments;Corporate clothing work gloves;482;purchase of goods;textiles and clothing;everyday clothing, such as coats, polo shirts, sweaters, jackets, shirts, jeans, t-shirts, dresses and pullovers, as well as professional and protective equipment. it includes specialist clothing, such as safety footwear, overalls and high-visibility waistcoats, designed to protect workers in specific environments. these items cover the needs of comfort, style and safety for professional or high-risk activities.;0.6354627013206482
vehicle and transport costs;Repairs, Service, and cleaning (vehicles);work ersatz;Vehicle maintenance;Repairs, Service, and cleaning (vehicles) work ersatz;483;purchases of services;vehicle maintenance and service;vehicle maintenance, repair and monitoring. this includes services such as regular servicing, mechanical repairs, tyre changes and maintenance of electrical systems. these activities are essential to guarantee the safety, performance and longevity of the vehicles, while excluding fuel consumption.;0.7504181861877441
external services;to be allocated to third-party services (expense);work div zfv;Admin services;to be allocated to third-party services (expense) work div zfv;484;purchases of services;logistics services;services related to the management of the flow of goods, from their point of origin to their final destination. this includes activities such as transport, storage, warehouse management, distribution and coordination of deliveries. these services are essential for optimising the supply chain, ensuring product availability and guaranteeing efficient, on-time delivery.;0.5216379165649414
external services;to be allocated to third-party services (expense);work div zfv;Admin services;to be allocated to third-party services (expense) work div zfv;485;purchases of services;logistics services;services related to the management of the flow of goods, from their point of origin to their final destination. this includes activities such as transport, storage, warehouse management, distribution and coordination of deliveries. these services are essential for optimising the supply chain, ensuring product availability and guaranteeing efficient, on-time delivery.;0.5216379165649414
maintenance, repairs, replacements;Management+Services FM;work div zfv;Facility services;Management+Services FM work div zfv;486;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.4463905096054077
external services;to be allocated to third-party services (expense);work div mp;Admin services;to be allocated to third-party services (expense) work div mp;487;purchases of services;logistics services;services related to the management of the flow of goods, from their point of origin to their final destination. this includes activities such as transport, storage, warehouse management, distribution and coordination of deliveries. these services are essential for optimising the supply chain, ensuring product availability and guaranteeing efficient, on-time delivery.;0.503605842590332
fixtures and installations;Electrical installations/material;work div move;Construction equipments;Electrical installations/material work div move;488;purchase of goods;electrical equipment;equipment such as generators, electric motors, switchboards, dimmers and wiring. this equipment is used for the production, distribution and management of electricity, not including energy consumption.;0.41278645396232605
external services;Various Third-Party Services;work div;Admin services;Various Third-Party Services work div;489;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.38475942611694336
external services;Interior decoration work;work atelier point b zurflüh;Construction services;Interior decoration work work atelier point b zurflüh;490;purchase of materials;building materials;materials used in construction and renovation projects. this includes materials such as concrete, cement concrete and portland cement, as well as pvc pipes and asphalt mixes. it also includes thermal insulation products, aggregates, quarry stone, concrete joists, concrete tiles, as well as finishing elements such as suspended ceiling panels and floor coverings.;0.44079428911209106
fixtures and installations;Electrical installations/material;work at heights infrastructure additional effort;Construction equipments;Electrical installations/material work at heights infrastructure additional effort;491;purchase of goods;electrical equipment;equipment such as generators, electric motors, switchboards, dimmers and wiring. this equipment is used for the production, distribution and management of electricity, not including energy consumption.;0.5179134607315063
external services;Stand Construction/Carpentry;work according to rapport;Construction equipments;Stand Construction/Carpentry work according to rapport;492;purchase of goods;textiles and clothing;everyday clothing, such as coats, polo shirts, sweaters, jackets, shirts, jeans, t-shirts, dresses and pullovers, as well as professional and protective equipment. it includes specialist clothing, such as safety footwear, overalls and high-visibility waistcoats, designed to protect workers in specific environments. these items cover the needs of comfort, style and safety for professional or high-risk activities.;0.33847641944885254
external services;Stand Construction/Carpentry;work according to rapport;Construction equipments;Stand Construction/Carpentry work according to rapport;493;purchase of goods;textiles and clothing;everyday clothing, such as coats, polo shirts, sweaters, jackets, shirts, jeans, t-shirts, dresses and pullovers, as well as professional and protective equipment. it includes specialist clothing, such as safety footwear, overalls and high-visibility waistcoats, designed to protect workers in specific environments. these items cover the needs of comfort, style and safety for professional or high-risk activities.;0.33847641944885254
wages and salaries;Rented Personnel;work;Admin services;Rented Personnel work;494;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.529586911201477
wages and salaries;Rented Personnel;work;Admin services;Rented Personnel work;495;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.529586911201477
external services;Stand construction/setup, exhibition stands;work;Construction services;Stand construction/setup, exhibition stands work;496;purchase of goods;buildings;acquisition and construction of various types of buildings, including agricultural and industrial buildings, office blocks and flat blocks, as well as detached houses and eco-buildings using natural materials such as wood, straw and stone. it also covers health and education establishments, as well as leisure and commercial facilities, garages and car parks.;0.3458135724067688
fixtures and installations;Electrical installations/material;work;Construction equipments;Electrical installations/material work;497;purchase of goods;electrical equipment;equipment such as generators, electric motors, switchboards, dimmers and wiring. this equipment is used for the production, distribution and management of electricity, not including energy consumption.;0.678991436958313
other personnel expenses;Meal expenses;word of travel pledge;Meals (Staff);Meal expenses word of travel pledge;498;passenger transport;accommodation / event;activities associated with travel, such as hotel accommodation and attendance at ticketed events. ;0.37787824869155884
other personnel expenses;Meal expenses;word of travel pledge;Meals (Staff);Meal expenses word of travel pledge;499;passenger transport;accommodation / event;activities associated with travel, such as hotel accommodation and attendance at ticketed events. ;0.37787824869155884
external services;DZ - stand construction/carpentry;wooden panels;Construction services;DZ - stand construction/carpentry wooden panels;500;purchase of materials;building materials;materials used in construction and renovation projects. this includes materials such as concrete, cement concrete and portland cement, as well as pvc pipes and asphalt mixes. it also includes thermal insulation products, aggregates, quarry stone, concrete joists, concrete tiles, as well as finishing elements such as suspended ceiling panels and floor coverings.;0.44334810972213745
rent for movables;Rent Tents;wooden floor rent additional;Truck (Suppliers);Rent Tents wooden floor rent additional;501;purchases of services;building rental;rental of various types of buildings, such as offices, commercial spaces, housing, storage warehouses and outdoor spaces. these rentals are designed to meet different needs, whether professional, residential or logistical, and allow flexibility in the use of space.;0.5354831218719482
rent for movables;Rent Tents;wooden floor rent additional;Truck (Suppliers);Rent Tents wooden floor rent additional;502;purchases of services;building rental;rental of various types of buildings, such as offices, commercial spaces, housing, storage warehouses and outdoor spaces. these rentals are designed to meet different needs, whether professional, residential or logistical, and allow flexibility in the use of space.;0.5354831218719482
rent for movables;Rent Tents;wooden floor rent additional;Truck (Suppliers);Rent Tents wooden floor rent additional;503;purchases of services;building rental;rental of various types of buildings, such as offices, commercial spaces, housing, storage warehouses and outdoor spaces. these rentals are designed to meet different needs, whether professional, residential or logistical, and allow flexibility in the use of space.;0.5354831218719482
maintenance, repairs, replacements;Maintenance Building;wooden floor ersatz;Building maintenance;Maintenance Building wooden floor ersatz;504;purchase of materials;building materials;materials used in construction and renovation projects. this includes materials such as concrete, cement concrete and portland cement, as well as pvc pipes and asphalt mixes. it also includes thermal insulation products, aggregates, quarry stone, concrete joists, concrete tiles, as well as finishing elements such as suspended ceiling panels and floor coverings.;0.5002325773239136
external services;Various Third-Party Services;wooden cards stk;Admin services;Various Third-Party Services wooden cards stk;505;purchase of materials;paper and cardboard;paper and cardboard products for a variety of uses. these include items such as printed paper labels, books, reams of paper (white or standard), as well as pulp used as raw material for the manufacture of different types of paper.;0.4825868010520935
external services;Interior decoration work;wooden boxes press corner;Construction services;Interior decoration work wooden boxes press corner;506;purchase of goods;furniture;furniture used to furnish living or working spaces. this includes items such as wardrobes, desks, bed frames, sofas, chairs, tables, mattresses and bed bases. it also covers specific furniture such as garden furniture, used outdoors for comfort and functionality.;0.4080718755722046
external services;Garden construction;woodcut vanlife;Construction services;Garden construction woodcut vanlife;507;purchase of materials;building materials;materials used in construction and renovation projects. this includes materials such as concrete, cement concrete and portland cement, as well as pvc pipes and asphalt mixes. it also includes thermal insulation products, aggregates, quarry stone, concrete joists, concrete tiles, as well as finishing elements such as suspended ceiling panels and floor coverings.;0.49394649267196655
external services;Interior decoration work;wood chips course;Construction services;Interior decoration work wood chips course;508;purchase of materials;building materials;materials used in construction and renovation projects. this includes materials such as concrete, cement concrete and portland cement, as well as pvc pipes and asphalt mixes. it also includes thermal insulation products, aggregates, quarry stone, concrete joists, concrete tiles, as well as finishing elements such as suspended ceiling panels and floor coverings.;0.4871923625469208
external services;Interior decoration work;wood chips;Construction services;Interior decoration work wood chips;509;use of fuels;wood and solid organics;solid fuels of plant origin, used to produce heat or energy. this includes wood in various forms, such as logs, pellets and wood chips, as well as biomasses such as miscanthus, straw and forestry chips. these biomass fuels are used for residential and industrial heating, offering a renewable alternative to fossil fuels.;0.49355173110961914
external services;DZ - Div. Cost of goods;wood chips;Admin equipments;DZ - Div. Cost of goods wood chips;510;purchase of goods;buildings;acquisition and construction of various types of buildings, including agricultural and industrial buildings, office blocks and flat blocks, as well as detached houses and eco-buildings using natural materials such as wood, straw and stone. it also covers health and education establishments, as well as leisure and commercial facilities, garages and car parks.;0.3591591417789459
external services;Garden construction;wood chips;Construction services;Garden construction wood chips;511;use of fuels;wood and solid organics;solid fuels of plant origin, used to produce heat or energy. this includes wood in various forms, such as logs, pellets and wood chips, as well as biomasses such as miscanthus, straw and forestry chips. these biomass fuels are used for residential and industrial heating, offering a renewable alternative to fossil fuels.;0.5674782991409302
external services;Garden construction;wood chips;Construction services;Garden construction wood chips;512;use of fuels;wood and solid organics;solid fuels of plant origin, used to produce heat or energy. this includes wood in various forms, such as logs, pellets and wood chips, as well as biomasses such as miscanthus, straw and forestry chips. these biomass fuels are used for residential and industrial heating, offering a renewable alternative to fossil fuels.;0.5674782991409302
social security;Daily sickness benefits insurance;women ag contribution;Financial services;Daily sickness benefits insurance women ag contribution;513;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.3409488797187805
social security;Daily sickness benefits insurance;women ag contribution;Financial services;Daily sickness benefits insurance women ag contribution;514;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.3409488797187805
social security;Daily sickness benefits insurance;women ag contribution;Financial services;Daily sickness benefits insurance women ag contribution;515;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.3409488797187805
social security;Daily sickness benefits insurance;women ag contribution;Financial services;Daily sickness benefits insurance women ag contribution;516;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.3409488797187805
social security;Daily sickness benefits insurance;women ag contribution;Financial services;Daily sickness benefits insurance women ag contribution;517;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.3409488797187805
social security;Daily sickness benefits insurance;women ag contribution;Financial services;Daily sickness benefits insurance women ag contribution;518;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.3409488797187805
social security;Daily sickness benefits insurance;women ag contribution;Financial services;Daily sickness benefits insurance women ag contribution;519;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.3409488797187805
social security;Daily sickness benefits insurance;women ag contribution;Financial services;Daily sickness benefits insurance women ag contribution;520;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.3409488797187805
social security;Daily sickness benefits insurance;women ag contribution;Financial services;Daily sickness benefits insurance women ag contribution;521;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.3409488797187805
social security;Daily sickness benefits insurance;women ag contribution;Financial services;Daily sickness benefits insurance women ag contribution;522;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.3409488797187805
social security;Daily sickness benefits insurance;women ag contribution;Financial services;Daily sickness benefits insurance women ag contribution;523;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.3409488797187805
social security;Daily sickness benefits insurance;women ag contribution;Financial services;Daily sickness benefits insurance women ag contribution;524;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.3409488797187805
social security;Daily sickness benefits insurance;women ag contribution;Financial services;Daily sickness benefits insurance women ag contribution;525;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.3409488797187805
social security;Daily sickness benefits insurance;women ag contribution;Financial services;Daily sickness benefits insurance women ag contribution;526;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.3409488797187805
social security;Daily sickness benefits insurance;women ag contribution;Financial services;Daily sickness benefits insurance women ag contribution;527;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.3409488797187805
social security;Daily sickness benefits insurance;women ag contribution;Financial services;Daily sickness benefits insurance women ag contribution;528;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.3409488797187805
social security;Daily sickness benefits insurance;women ag contribution;Financial services;Daily sickness benefits insurance women ag contribution;529;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.3409488797187805
social security;Daily sickness benefits insurance;women ag contribution;Financial services;Daily sickness benefits insurance women ag contribution;530;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.3409488797187805
social security;Daily sickness benefits insurance;women ag contribution;Financial services;Daily sickness benefits insurance women ag contribution;531;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.3409488797187805
social security;Daily sickness benefits insurance;women ag contribution;Financial services;Daily sickness benefits insurance women ag contribution;532;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.3409488797187805
other personnel expenses;Accommodation expenses;womanly overnight stay schneider holiday;Hotel/Meeting (B2B);Accommodation expenses womanly overnight stay schneider holiday;533;passenger transport;accommodation / event;activities associated with travel, such as hotel accommodation and attendance at ticketed events. ;0.46126365661621094
external services;Interior decoration work;womanly decorative material fest box Thanee;Construction services;Interior decoration work womanly decorative material fest box Thanee;534;purchase of goods;furniture;furniture used to furnish living or working spaces. this includes items such as wardrobes, desks, bed frames, sofas, chairs, tables, mattresses and bed bases. it also covers specific furniture such as garden furniture, used outdoors for comfort and functionality.;0.4836347997188568
office and administrative expenses;Representation and acquisition expenses;womanly blazer;Meals (Staff);Representation and acquisition expenses womanly blazer;535;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.441084086894989
other personnel expenses;Miscellaneous Personal Expenses;wolfgang coupon;Travel allowance (Staff);Miscellaneous Personal Expenses wolfgang coupon;536;purchase of goods;office consumables;all items used on a daily basis in an office environment that need to be replaced regularly. it includes supplies such as printing paper, ink cartridges for printers, pens, markers and notepads, as well as items such as paper clips, envelopes and filing folders.;0.47761768102645874
external services;Telephone, Radio, Sound/Lighting;wm sat attachment;IT services;Telephone, Radio, Sound/Lighting wm sat attachment;537;purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.;0.685177206993103
energy, operating and auxiliary materials;Current;wm public energy viewing;Electricity;Current wm public energy viewing;538;use of electricity;standard;consumption of electricity from a variety of sources, including fossil fuels (coal, gas, oil) as well as renewable energies, without specific distinction.;0.5068809986114502
energy, operating and auxiliary materials;Current;wm public energy viewing;Electricity;Current wm public energy viewing;539;use of electricity;standard;consumption of electricity from a variety of sources, including fossil fuels (coal, gas, oil) as well as renewable energies, without specific distinction.;0.5068809986114502
energy, operating and auxiliary materials;Water;wm public energy viewing;Water;Water wm public energy viewing;540;use of electricity;standard;consumption of electricity from a variety of sources, including fossil fuels (coal, gas, oil) as well as renewable energies, without specific distinction.;0.537078857421875
energy, operating and auxiliary materials;Water;wm public energy viewing;Water;Water wm public energy viewing;541;use of electricity;standard;consumption of electricity from a variety of sources, including fossil fuels (coal, gas, oil) as well as renewable energies, without specific distinction.;0.537078857421875
