Cat1EN;Cat2EN;DescriptionCat2EN
purchase of goods;wine growing;equipment used in agriculture and viticulture, such as tractors, harvesters and grape harvesters. it also includes essential small equipment such as corks and synthetic stoppers, wooden crates, capsules for corking, trellising wire, wirehoods and vine stakes, which are necessary for growing and bottling.
purchase of goods;wine growing;equipment used in agriculture and viticulture, such as tractors, harvesters and grape harvesters. it also includes essential small equipment such as corks and synthetic stoppers, wooden crates, capsules for corking, trellising wire, wirehoods and vine stakes, which are necessary for growing and bottling.
purchase of goods;wine growing;equipment used in agriculture and viticulture, such as tractors, harvesters and grape harvesters. it also includes essential small equipment such as corks and synthetic stoppers, wooden crates, capsules for corking, trellising wire, wirehoods and vine stakes, which are necessary for growing and bottling.
purchase of goods;wine growing;equipment used in agriculture and viticulture, such as tractors, harvesters and grape harvesters. it also includes essential small equipment such as corks and synthetic stoppers, wooden crates, capsules for corking, trellising wire, wirehoods and vine stakes, which are necessary for growing and bottling.
purchase of goods;wine growing;equipment used in agriculture and viticulture, such as tractors, harvesters and grape harvesters. it also includes essential small equipment such as corks and synthetic stoppers, wooden crates, capsules for corking, trellising wire, wirehoods and vine stakes, which are necessary for growing and bottling.
purchase of goods;wine growing;equipment used in agriculture and viticulture, such as tractors, harvesters and grape harvesters. it also includes essential small equipment such as corks and synthetic stoppers, wooden crates, capsules for corking, trellising wire, wirehoods and vine stakes, which are necessary for growing and bottling.
purchase of goods;wine growing;equipment used in agriculture and viticulture, such as tractors, harvesters and grape harvesters. it also includes essential small equipment such as corks and synthetic stoppers, wooden crates, capsules for corking, trellising wire, wirehoods and vine stakes, which are necessary for growing and bottling.
purchase of goods;furniture;furniture used to furnish living or working spaces. this includes items such as wardrobes, desks, bed frames, sofas, chairs, tables, mattresses and bed bases. it also covers specific furniture such as garden furniture, used outdoors for comfort and functionality.
purchase of goods;furniture;furniture used to furnish living or working spaces. this includes items such as wardrobes, desks, bed frames, sofas, chairs, tables, mattresses and bed bases. it also covers specific furniture such as garden furniture, used outdoors for comfort and functionality.
purchase of goods;furniture;furniture used to furnish living or working spaces. this includes items such as wardrobes, desks, bed frames, sofas, chairs, tables, mattresses and bed bases. it also covers specific furniture such as garden furniture, used outdoors for comfort and functionality.
purchase of goods;furniture;furniture used to furnish living or working spaces. this includes items such as wardrobes, desks, bed frames, sofas, chairs, tables, mattresses and bed bases. it also covers specific furniture such as garden furniture, used outdoors for comfort and functionality.
purchase of goods;furniture;furniture used to furnish living or working spaces. this includes items such as wardrobes, desks, bed frames, sofas, chairs, tables, mattresses and bed bases. it also covers specific furniture such as garden furniture, used outdoors for comfort and functionality.
purchase of goods;furniture;furniture used to furnish living or working spaces. this includes items such as wardrobes, desks, bed frames, sofas, chairs, tables, mattresses and bed bases. it also covers specific furniture such as garden furniture, used outdoors for comfort and functionality.
purchase of goods;furniture;furniture used to furnish living or working spaces. this includes items such as wardrobes, desks, bed frames, sofas, chairs, tables, mattresses and bed bases. it also covers specific furniture such as garden furniture, used outdoors for comfort and functionality.
purchase of goods;furniture;furniture used to furnish living or working spaces. this includes items such as wardrobes, desks, bed frames, sofas, chairs, tables, mattresses and bed bases. it also covers specific furniture such as garden furniture, used outdoors for comfort and functionality.
purchase of goods;furniture;furniture used to furnish living or working spaces. this includes items such as wardrobes, desks, bed frames, sofas, chairs, tables, mattresses and bed bases. it also covers specific furniture such as garden furniture, used outdoors for comfort and functionality.
purchase of goods;furniture;furniture used to furnish living or working spaces. this includes items such as wardrobes, desks, bed frames, sofas, chairs, tables, mattresses and bed bases. it also covers specific furniture such as garden furniture, used outdoors for comfort and functionality.
purchase of goods;healthcare products;includes not only medicines, but also a wider range of products for the prevention, treatment and maintenance of health. it includes medical devices (such as bandages and diagnostic equipment), medicines, food supplements, vaccines, as well as care and hygiene products designed to improve general well-being.
purchase of goods;healthcare products;includes not only medicines, but also a wider range of products for the prevention, treatment and maintenance of health. it includes medical devices (such as bandages and diagnostic equipment), medicines, food supplements, vaccines, as well as care and hygiene products designed to improve general well-being.
purchase of goods;healthcare products;includes not only medicines, but also a wider range of products for the prevention, treatment and maintenance of health. it includes medical devices (such as bandages and diagnostic equipment), medicines, food supplements, vaccines, as well as care and hygiene products designed to improve general well-being.
purchase of goods;healthcare products;includes not only medicines, but also a wider range of products for the prevention, treatment and maintenance of health. it includes medical devices (such as bandages and diagnostic equipment), medicines, food supplements, vaccines, as well as care and hygiene products designed to improve general well-being.
purchase of goods;healthcare products;includes not only medicines, but also a wider range of products for the prevention, treatment and maintenance of health. it includes medical devices (such as bandages and diagnostic equipment), medicines, food supplements, vaccines, as well as care and hygiene products designed to improve general well-being.
purchase of goods;textiles and clothing;everyday clothing, such as coats, polo shirts, sweaters, jackets, shirts, jeans, t-shirts, dresses and pullovers, as well as professional and protective equipment. it includes specialist clothing, such as safety footwear, overalls and high-visibility waistcoats, designed to protect workers in specific environments. these items cover the needs of comfort, style and safety for professional or high-risk activities.
purchase of goods;textiles and clothing;everyday clothing, such as coats, polo shirts, sweaters, jackets, shirts, jeans, t-shirts, dresses and pullovers, as well as professional and protective equipment. it includes specialist clothing, such as safety footwear, overalls and high-visibility waistcoats, designed to protect workers in specific environments. these items cover the needs of comfort, style and safety for professional or high-risk activities.
purchase of goods;textiles and clothing;everyday clothing, such as coats, polo shirts, sweaters, jackets, shirts, jeans, t-shirts, dresses and pullovers, as well as professional and protective equipment. it includes specialist clothing, such as safety footwear, overalls and high-visibility waistcoats, designed to protect workers in specific environments. these items cover the needs of comfort, style and safety for professional or high-risk activities.
purchase of goods;textiles and clothing;everyday clothing, such as coats, polo shirts, sweaters, jackets, shirts, jeans, t-shirts, dresses and pullovers, as well as professional and protective equipment. it includes specialist clothing, such as safety footwear, overalls and high-visibility waistcoats, designed to protect workers in specific environments. these items cover the needs of comfort, style and safety for professional or high-risk activities.
purchase of goods;textiles and clothing;everyday clothing, such as coats, polo shirts, sweaters, jackets, shirts, jeans, t-shirts, dresses and pullovers, as well as professional and protective equipment. it includes specialist clothing, such as safety footwear, overalls and high-visibility waistcoats, designed to protect workers in specific environments. these items cover the needs of comfort, style and safety for professional or high-risk activities.
purchase of goods;textiles and clothing;everyday clothing, such as coats, polo shirts, sweaters, jackets, shirts, jeans, t-shirts, dresses and pullovers, as well as professional and protective equipment. it includes specialist clothing, such as safety footwear, overalls and high-visibility waistcoats, designed to protect workers in specific environments. these items cover the needs of comfort, style and safety for professional or high-risk activities.
purchase of goods;textiles and clothing;everyday clothing, such as coats, polo shirts, sweaters, jackets, shirts, jeans, t-shirts, dresses and pullovers, as well as professional and protective equipment. it includes specialist clothing, such as safety footwear, overalls and high-visibility waistcoats, designed to protect workers in specific environments. these items cover the needs of comfort, style and safety for professional or high-risk activities.
purchase of goods;textiles and clothing;everyday clothing, such as coats, polo shirts, sweaters, jackets, shirts, jeans, t-shirts, dresses and pullovers, as well as professional and protective equipment. it includes specialist clothing, such as safety footwear, overalls and high-visibility waistcoats, designed to protect workers in specific environments. these items cover the needs of comfort, style and safety for professional or high-risk activities.
purchase of goods;textiles and clothing;everyday clothing, such as coats, polo shirts, sweaters, jackets, shirts, jeans, t-shirts, dresses and pullovers, as well as professional and protective equipment. it includes specialist clothing, such as safety footwear, overalls and high-visibility waistcoats, designed to protect workers in specific environments. these items cover the needs of comfort, style and safety for professional or high-risk activities.
purchase of goods;textiles and clothing;everyday clothing, such as coats, polo shirts, sweaters, jackets, shirts, jeans, t-shirts, dresses and pullovers, as well as professional and protective equipment. it includes specialist clothing, such as safety footwear, overalls and high-visibility waistcoats, designed to protect workers in specific environments. these items cover the needs of comfort, style and safety for professional or high-risk activities.
purchase of goods;textiles and clothing;everyday clothing, such as coats, polo shirts, sweaters, jackets, shirts, jeans, t-shirts, dresses and pullovers, as well as professional and protective equipment. it includes specialist clothing, such as safety footwear, overalls and high-visibility waistcoats, designed to protect workers in specific environments. these items cover the needs of comfort, style and safety for professional or high-risk activities.
purchase of goods;textiles and clothing;everyday clothing, such as coats, polo shirts, sweaters, jackets, shirts, jeans, t-shirts, dresses and pullovers, as well as professional and protective equipment. it includes specialist clothing, such as safety footwear, overalls and high-visibility waistcoats, designed to protect workers in specific environments. these items cover the needs of comfort, style and safety for professional or high-risk activities.
purchase of goods;glass and glassware;acquisition of glass products, such as drinking glasses, bottles, carafes and other household glassware. these purchases also include glassware used in professional contexts, such as catering or decoration, offering both functionality and aesthetic appeal.
purchase of goods;glass and glassware;acquisition of glass products, such as drinking glasses, bottles, carafes and other household glassware. these purchases also include glassware used in professional contexts, such as catering or decoration, offering both functionality and aesthetic appeal.
purchase of goods;motor vehicles and other transport equipment;acquisition of motor vehicles and transport equipment. this includes cars, lorries and vans, as well as specific equipment such as trailers, motorbikes and vans. these purchases are intended to ensure the mobility of people and the transport of goods, both for professional and personal use.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.
purchase of goods;electrical equipment;equipment such as generators, electric motors, switchboards, dimmers and wiring. this equipment is used for the production, distribution and management of electricity, not including energy consumption.
purchase of goods;electrical equipment;equipment such as generators, electric motors, switchboards, dimmers and wiring. this equipment is used for the production, distribution and management of electricity, not including energy consumption.
purchase of goods;electrical equipment;equipment such as generators, electric motors, switchboards, dimmers and wiring. this equipment is used for the production, distribution and management of electricity, not including energy consumption.
purchase of goods;electrical equipment;equipment such as generators, electric motors, switchboards, dimmers and wiring. this equipment is used for the production, distribution and management of electricity, not including energy consumption.
agri-food products;meat;products from animals intended for human consumption. this includes red meat such as beef and lamb, white meat such as chicken and pork, and other types of meat such as duck and rabbit. meat can be prepared in a variety of ways - grilled, simmered or roasted - to suit different tastes and nutritional needs.
agri-food products;meat;products from animals intended for human consumption. this includes red meat such as beef and lamb, white meat such as chicken and pork, and other types of meat such as duck and rabbit. meat can be prepared in a variety of ways - grilled, simmered or roasted - to suit different tastes and nutritional needs.
agri-food products;meat;products from animals intended for human consumption. this includes red meat such as beef and lamb, white meat such as chicken and pork, and other types of meat such as duck and rabbit. meat can be prepared in a variety of ways - grilled, simmered or roasted - to suit different tastes and nutritional needs.
agri-food products;meat;products from animals intended for human consumption. this includes red meat such as beef and lamb, white meat such as chicken and pork, and other types of meat such as duck and rabbit. meat can be prepared in a variety of ways - grilled, simmered or roasted - to suit different tastes and nutritional needs.
agri-food products;meat;products from animals intended for human consumption. this includes red meat such as beef and lamb, white meat such as chicken and pork, and other types of meat such as duck and rabbit. meat can be prepared in a variety of ways - grilled, simmered or roasted - to suit different tastes and nutritional needs.
agri-food products;meat;products from animals intended for human consumption. this includes red meat such as beef and lamb, white meat such as chicken and pork, and other types of meat such as duck and rabbit. meat can be prepared in a variety of ways - grilled, simmered or roasted - to suit different tastes and nutritional needs.
agri-food products;meat;products from animals intended for human consumption. this includes red meat such as beef and lamb, white meat such as chicken and pork, and other types of meat such as duck and rabbit. meat can be prepared in a variety of ways - grilled, simmered or roasted - to suit different tastes and nutritional needs.
agri-food products;meat;products from animals intended for human consumption. this includes red meat such as beef and lamb, white meat such as chicken and pork, and other types of meat such as duck and rabbit. meat can be prepared in a variety of ways - grilled, simmered or roasted - to suit different tastes and nutritional needs.
agri-food products;meat;products from animals intended for human consumption. this includes red meat such as beef and lamb, white meat such as chicken and pork, and other types of meat such as duck and rabbit. meat can be prepared in a variety of ways - grilled, simmered or roasted - to suit different tastes and nutritional needs.
agri-food products;meat;products from animals intended for human consumption. this includes red meat such as beef and lamb, white meat such as chicken and pork, and other types of meat such as duck and rabbit. meat can be prepared in a variety of ways - grilled, simmered or roasted - to suit different tastes and nutritional needs.
agri-food products;meat;products from animals intended for human consumption. this includes red meat such as beef and lamb, white meat such as chicken and pork, and other types of meat such as duck and rabbit. meat can be prepared in a variety of ways - grilled, simmered or roasted - to suit different tastes and nutritional needs.
agri-food products;meat;products from animals intended for human consumption. this includes red meat such as beef and lamb, white meat such as chicken and pork, and other types of meat such as duck and rabbit. meat can be prepared in a variety of ways - grilled, simmered or roasted - to suit different tastes and nutritional needs.
agri-food products;meat;products from animals intended for human consumption. this includes red meat such as beef and lamb, white meat such as chicken and pork, and other types of meat such as duck and rabbit. meat can be prepared in a variety of ways - grilled, simmered or roasted - to suit different tastes and nutritional needs.
agri-food products;meat;products from animals intended for human consumption. this includes red meat such as beef and lamb, white meat such as chicken and pork, and other types of meat such as duck and rabbit. meat can be prepared in a variety of ways - grilled, simmered or roasted - to suit different tastes and nutritional needs.
agri-food products;groceries;basic or processed food products, often used for cooking and pastry-making. this includes sweet products such as biscuits, chocolate, ice cream and sugar, as well as raw materials such as flour and vanilla. it also includes condiments such as ketchup, margarine and wine vinegar, as well as oils (olive, rapeseed, sunflower) used in cooking, not forgetting ready-to-eat pastries.
agri-food products;groceries;basic or processed food products, often used for cooking and pastry-making. this includes sweet products such as biscuits, chocolate, ice cream and sugar, as well as raw materials such as flour and vanilla. it also includes condiments such as ketchup, margarine and wine vinegar, as well as oils (olive, rapeseed, sunflower) used in cooking, not forgetting ready-to-eat pastries.
agri-food products;groceries;basic or processed food products, often used for cooking and pastry-making. this includes sweet products such as biscuits, chocolate, ice cream and sugar, as well as raw materials such as flour and vanilla. it also includes condiments such as ketchup, margarine and wine vinegar, as well as oils (olive, rapeseed, sunflower) used in cooking, not forgetting ready-to-eat pastries.
agri-food products;groceries;basic or processed food products, often used for cooking and pastry-making. this includes sweet products such as biscuits, chocolate, ice cream and sugar, as well as raw materials such as flour and vanilla. it also includes condiments such as ketchup, margarine and wine vinegar, as well as oils (olive, rapeseed, sunflower) used in cooking, not forgetting ready-to-eat pastries.
agri-food products;groceries;basic or processed food products, often used for cooking and pastry-making. this includes sweet products such as biscuits, chocolate, ice cream and sugar, as well as raw materials such as flour and vanilla. it also includes condiments such as ketchup, margarine and wine vinegar, as well as oils (olive, rapeseed, sunflower) used in cooking, not forgetting ready-to-eat pastries.
agri-food products;groceries;basic or processed food products, often used for cooking and pastry-making. this includes sweet products such as biscuits, chocolate, ice cream and sugar, as well as raw materials such as flour and vanilla. it also includes condiments such as ketchup, margarine and wine vinegar, as well as oils (olive, rapeseed, sunflower) used in cooking, not forgetting ready-to-eat pastries.
agri-food products;groceries;basic or processed food products, often used for cooking and pastry-making. this includes sweet products such as biscuits, chocolate, ice cream and sugar, as well as raw materials such as flour and vanilla. it also includes condiments such as ketchup, margarine and wine vinegar, as well as oils (olive, rapeseed, sunflower) used in cooking, not forgetting ready-to-eat pastries.
agri-food products;groceries;basic or processed food products, often used for cooking and pastry-making. this includes sweet products such as biscuits, chocolate, ice cream and sugar, as well as raw materials such as flour and vanilla. it also includes condiments such as ketchup, margarine and wine vinegar, as well as oils (olive, rapeseed, sunflower) used in cooking, not forgetting ready-to-eat pastries.
agri-food products;groceries;basic or processed food products, often used for cooking and pastry-making. this includes sweet products such as biscuits, chocolate, ice cream and sugar, as well as raw materials such as flour and vanilla. it also includes condiments such as ketchup, margarine and wine vinegar, as well as oils (olive, rapeseed, sunflower) used in cooking, not forgetting ready-to-eat pastries.
agri-food products;groceries;basic or processed food products, often used for cooking and pastry-making. this includes sweet products such as biscuits, chocolate, ice cream and sugar, as well as raw materials such as flour and vanilla. it also includes condiments such as ketchup, margarine and wine vinegar, as well as oils (olive, rapeseed, sunflower) used in cooking, not forgetting ready-to-eat pastries.
agri-food products;groceries;basic or processed food products, often used for cooking and pastry-making. this includes sweet products such as biscuits, chocolate, ice cream and sugar, as well as raw materials such as flour and vanilla. it also includes condiments such as ketchup, margarine and wine vinegar, as well as oils (olive, rapeseed, sunflower) used in cooking, not forgetting ready-to-eat pastries.
agri-food products;groceries;basic or processed food products, often used for cooking and pastry-making. this includes sweet products such as biscuits, chocolate, ice cream and sugar, as well as raw materials such as flour and vanilla. it also includes condiments such as ketchup, margarine and wine vinegar, as well as oils (olive, rapeseed, sunflower) used in cooking, not forgetting ready-to-eat pastries.
agri-food products;groceries;basic or processed food products, often used for cooking and pastry-making. this includes sweet products such as biscuits, chocolate, ice cream and sugar, as well as raw materials such as flour and vanilla. it also includes condiments such as ketchup, margarine and wine vinegar, as well as oils (olive, rapeseed, sunflower) used in cooking, not forgetting ready-to-eat pastries.
agri-food products;groceries;basic or processed food products, often used for cooking and pastry-making. this includes sweet products such as biscuits, chocolate, ice cream and sugar, as well as raw materials such as flour and vanilla. it also includes condiments such as ketchup, margarine and wine vinegar, as well as oils (olive, rapeseed, sunflower) used in cooking, not forgetting ready-to-eat pastries.
agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.
agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.
agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.
agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.
agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.
agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.
agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.
agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.
agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.
agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.
agri-food products;other plant products;plant-based products, including container shrubs and cut flowers such as above-ground roses. these products are intended for agriculture, horticulture or decoration, offering a variety of plants adapted to different uses.
agri-food products;other plant products;plant-based products, including container shrubs and cut flowers such as above-ground roses. these products are intended for agriculture, horticulture or decoration, offering a variety of plants adapted to different uses.
agri-food products;other plant products;plant-based products, including container shrubs and cut flowers such as above-ground roses. these products are intended for agriculture, horticulture or decoration, offering a variety of plants adapted to different uses.
agri-food products;condiments;ingredients used to season and enhance the taste of dishes. it includes spices such as aniseed, cinnamon, chilli and pepper, as well as condiments such as mustard and salt.
agri-food products;condiments;ingredients used to season and enhance the taste of dishes. it includes spices such as aniseed, cinnamon, chilli and pepper, as well as condiments such as mustard and salt.
agri-food products;condiments;ingredients used to season and enhance the taste of dishes. it includes spices such as aniseed, cinnamon, chilli and pepper, as well as condiments such as mustard and salt.
agri-food products;condiments;ingredients used to season and enhance the taste of dishes. it includes spices such as aniseed, cinnamon, chilli and pepper, as well as condiments such as mustard and salt.
agri-food products;condiments;ingredients used to season and enhance the taste of dishes. it includes spices such as aniseed, cinnamon, chilli and pepper, as well as condiments such as mustard and salt.
agri-food products;condiments;ingredients used to season and enhance the taste of dishes. it includes spices such as aniseed, cinnamon, chilli and pepper, as well as condiments such as mustard and salt.
agri-food products;cereals;including durum wheat, soft wheat and organic soft wheat, as well as cereals such as barley, triticale and thai rice (jasmine rice). it also includes hay, used mainly as fodder. these products are grown for food purposes, both for human consumption and for animal feed.
